epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.07987,1.59217,3.35571,1.71154,0.00284,0.5,0.42187,0.22088,1.08416,3.55519,1.22742,0.00011669,0.00011669,0.00011669
2,10.074,0.93316,2.7085,1.13859,0.00715,0.60714,0.49764,0.25592,0.69589,3.41813,0.95083,0.000219106,0.000219106,0.000219106
3,14.9212,0.69094,1.51685,1.00979,0.00916,0.78571,0.49943,0.28219,0.62649,3.16938,0.92388,0.000288516,0.000288516,0.000288516
4,20.0773,0.60678,1.03943,0.99371,1,0.45832,0.52078,0.42242,0.60516,2.47039,0.8864,0.000324919,0.000324919,0.000324919
5,24.8898,0.55717,0.82306,0.95467,0.975,0.46429,0.58465,0.51373,0.56607,2.36011,0.86755,0.000328316,0.000328316,0.000328316
6,29.7365,0.55485,0.77689,0.94547,0.99675,0.5,0.50993,0.48143,0.4318,2.28157,0.81206,0.000298706,0.000298706,0.000298706
7,34.7942,0.5256,0.70971,0.93176,0.99641,0.5,0.82005,0.74638,0.41494,2.03242,0.82693,0.000236089,0.000236089,0.000236089
8,39.7585,0.4829,0.7132,0.94479,0.96986,0.5,0.9312,0.85102,0.39365,1.86596,0.8167,0.000140466,0.000140466,0.000140466
