epoch,loss,mae,val_loss,val_mae,learning_rate
0,0.11277860403060913,0.1685301512479782,0.008040133863687515,0.06557164341211319,0.0010000000474974513
1,0.011204363778233528,0.07613978534936905,0.006170112639665604,0.0556960292160511,0.0010000000474974513
2,0.008318948559463024,0.0659220889210701,0.005762860644608736,0.05238696560263634,0.0010000000474974513
3,0.007420925889164209,0.062193289399147034,0.005683299619704485,0.05354144051671028,0.0010000000474974513
4,0.006840341258794069,0.059457458555698395,0.0052404701709747314,0.049617595970630646,0.0010000000474974513
5,0.0064369309693574905,0.05779440701007843,0.005124337039887905,0.048498257994651794,0.0010000000474974513
6,0.006395744625478983,0.05745178461074829,0.005644601304084063,0.05159517750144005,0.0010000000474974513
7,0.0062993308529257774,0.05674505606293678,0.005784230772405863,0.05409877002239227,0.0010000000474974513
8,0.005777969025075436,0.05403932183980942,0.004664640408009291,0.04532850533723831,0.0005000000237487257
9,0.005644592922180891,0.05325239524245262,0.005133277736604214,0.04886139556765556,0.0005000000237487257
10,0.005616915412247181,0.05321313813328743,0.004725580103695393,0.04657695069909096,0.0005000000237487257
11,0.005404673982411623,0.05196632072329521,0.0046782041899859905,0.0453176312148571,0.0002500000118743628
12,0.005341800861060619,0.05158518627285957,0.004572515841573477,0.04455708712339401,0.0002500000118743628
13,0.0052888039499521255,0.051197852939367294,0.004532653372734785,0.04329838976264,0.0001250000059371814
14,0.0052619860507547855,0.05107945576310158,0.004534294828772545,0.043994128704071045,0.0001250000059371814
